"data";"valor"
"01/02/1998";"179113,61"
"01/03/1998";"178758,01"
"01/04/1998";"184198,90"
"01/05/1998";"187377,48"
"01/06/1998";"193636,98"
"01/07/1998";"196751,73"
"01/08/1998";"192626,19"
"01/09/1998";"199389,90"
"01/10/1998";"206423,84"
"01/11/1998";"224602,05"
"01/12/1998";"237034,76"
"01/01/1999";"306384,99"
"01/02/1999";"315051,71"
"01/03/1999";"287909,94"
"01/04/1999";"285402,82"
"01/05/1999";"292195,12"
"01/06/1999";"299780,37"
"01/07/1999";"302989,41"
"01/08/1999";"311803,42"
"01/09/1999";"310779,07"
"01/10/1999";"314817,32"
"01/11/1999";"313173,92"
"01/12/1999";"313668,65"
"01/01/2000";"319874,83"
"01/02/2000";"318035,17"
"01/03/2000";"317330,46"
"01/04/2000";"324239,17"
"01/05/2000";"328181,92"
"01/06/2000";"330556,40"
"01/07/2000";"331000,55"
"01/08/2000";"324961,09"
"01/09/2000";"324501,78"
"01/10/2000";"332820,13"
"01/11/2000";"338523,49"
"01/12/2000";"344258,40"
"01/01/2001";"339639,83"
"01/02/2001";"346989,01"
"01/03/2001";"354786,61"
"01/04/2001";"356055,13"
"01/05/2001";"368060,79"
"01/06/2001";"372456,41"
"01/07/2001";"389042,28"
"01/08/2001";"401364,65"
"01/09/2001";"410483,14"
"01/10/2001";"418082,89"
"01/11/2001";"408511,18"
"01/12/2001";"419120,53"
"01/01/2002";"436186,92"
"01/02/2002";"432360,15"
"01/03/2002";"427755,86"
"01/04/2002";"434538,58"
"01/05/2002";"455035,66"
"01/06/2002";"488729,97"
"01/07/2002";"554335,15"
"01/08/2002";"505122,87"
"01/09/2002";"592218,66"
"01/10/2002";"568153,25"
"01/11/2002";"574933,36"
"01/12/2002";"566734,45"
"01/01/2003";"581343,01"
"01/02/2003";"590805,13"
"01/03/2003";"575592,38"
"01/04/2003";"529735,85"
"01/05/2003";"547833,65"
"01/06/2003";"550408,15"
"01/07/2003";"572336,42"
"01/08/2003";"583769,08"
"01/09/2003";"559126,37"
"01/10/2003";"552682,74"
"01/11/2003";"567124,39"
"01/12/2003";"584543,82"
"01/01/2004";"598830,99"
"01/02/2004";"590507,57"
"01/03/2004";"590587,49"
"01/04/2004";"592558,90"
"01/05/2004";"609122,89"
"01/06/2004";"609483,79"
"01/07/2004";"604948,02"
"01/08/2004";"602950,44"
"01/09/2004";"596913,09"
